,0
625,1642
626,1590
627,1592
628,1591
629,1610
630,1457
631,1617
632,1594
633,1673
634,1535
635,1525
636,1417
637,1682
638,1509
639,1614
640,1525
641,1675
642,1632
643,1492
644,1576
645,1479
646,1728
647,1664
648,1630
649,1602
650,1639
651,10001298
652,1556
653,1625
654,1580
655,1677
656,1621
657,1536
658,1469
659,1655
660,1549
661,1555
662,1624
663,1615
664,1543
665,1695
666,1647
667,1659
668,1613
669,10001316
670,1629
671,1442
672,1586
673,1564
674,1646
675,1607
676,1538
677,1548
678,1583
679,1586
680,1609
681,1418
682,1534
683,1599
684,1423
685,1687
686,1540
687,1461
688,1554
689,10001241
690,1448
691,1447
692,1517
693,1517
694,1686
695,1550
696,1558
697,1619
698,1556
699,1647
700,1640
701,1631
702,1588
703,1607
704,1482
705,1689
706,1624
707,1660
708,1740
709,1574
710,1569
711,1637
712,1651
713,10001249
714,1554
715,1628
716,1611
717,1671
718,1526
719,1645
720,1484
721,1456
722,10001342
723,1512
724,1610
725,1614
726,10001310
727,1615
728,1468
729,1667
730,1458
731,1691
732,10001255
733,1567
734,1577
735,1551
736,10001328
737,1597
738,1592
739,1671
740,1712
741,1520
742,1568
743,1579
744,10001257
745,1471
746,1659
747,1618
748,1553
749,1603
750,1565
751,1601
752,10001382
753,10001219
754,1638
755,1572
756,1598
757,1565
758,1608
759,1591
760,1550
761,1582
762,1567
763,10001291
764,1587
765,1565
766,10001288
767,1676
768,1654
769,1525
770,1383
771,1583
772,1353
773,1661
774,1719
775,1567
776,1487
777,10001280
778,1589
779,1545
780,1569
781,10001242
782,1568
783,1487
784,1575
785,10001316
786,1529
787,1544
788,1631
789,1430
790,10001284
791,1593
792,1558
793,10001248
794,1385
795,1641
796,1618
797,1657
798,1668
799,1688
800,1643
801,1709
802,10001325
803,1605
804,1666
805,1644
806,10001307
807,1481
808,10001341
809,1571
810,1640
811,10001295
812,1512
813,1645
814,1429
815,10001241
816,1569
817,10001353
818,10001300
819,1610
820,1550
821,1487
822,1606
823,1610
824,1559
825,1526
826,1689
827,1698
828,1663
829,1664
830,1650
831,1573
832,1574
833,1639
834,1676
835,1471
836,1548
837,1482
838,1685
839,1411
840,1585
841,1548
842,1495
843,1613
844,1631
845,1559
846,1550
847,1601
848,10001245
849,1546
850,10001257
851,1623
852,1566
853,10001282
854,1466
855,1573
856,1645
857,1562
858,1592
859,1597
860,1574
861,10001344
862,1608
863,1682
864,1564
865,1572
866,1674
867,1518
868,1600
869,1522
870,1648
871,1469
872,1621
873,1595
874,1733
875,1671
876,1573
877,1505
878,1620
879,1535
880,1605
881,10001293
882,1604
883,1538
884,1497
885,1655
886,1628
887,1638
888,10001249
889,1655
890,10001329
891,1585
892,1503
893,1506
894,1407
895,1454
896,1660
897,1597
898,1538
899,1624
900,10001346
901,1660
902,1659
903,1615
904,1545
905,1608
906,10001346
907,1574
908,1569
909,10001317
910,1574
911,10001254
912,1682
913,10001352
914,10001299
915,10001352
916,10001344
917,1632
918,1674
919,1571
920,1390
921,1480
922,1449
923,1556
924,10001317
925,1625
926,1436
927,1569
928,1651
929,1582
930,1522
931,1694
932,1640
933,10001308
934,1698
935,10001253
936,10001304
937,1520
938,1615
939,1502
940,1674
941,1392
942,1664
943,1507
944,1584
945,1628
946,1573
947,1647
948,1493
949,1588
950,10001314
951,1530
952,1692
953,1554
954,10001294
955,1496
956,1592
957,1528
958,1594
959,1569
960,1807
961,1561
962,1428
963,1598
964,1456
965,1561
966,1507
967,10001299
968,10001366
969,1581
970,1607
971,1525
972,1600
973,1689
974,1633
975,1600
976,1688
977,1714
978,1623
979,1546
980,10001354
981,10001360
982,10001297
983,1565
984,10001341
985,1715
986,10001257
987,1587
988,1643
989,1507
990,1637
991,1491
992,1568
993,1552
994,1538
995,10001304
996,1517
997,1532
998,1632
999,1524
